channel,method,threshold,precision,recall,f1_score,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives
A-8,Global Z-score,±3,0.0,0.0,0.0,0.0,1.0,4569,0,3806,0
A-8,Rolling Z-score,±3,0.5819209039548022,0.027062532842879662,0.05171980918905348,0.016196104180345807,0.9729374671571204,4495,74,3703,103
