channel,method,precision,recall,f1_score,false_positive_rate,false_negative_rate
A-8,Global Z-score,0.0,0.0,0.0,0.0,1.0
A-8,Rolling Z-score,0.5819209039548022,0.0270625328428796,0.0517198091890534,0.0161961041803458,0.9729374671571204
A-8,Isolation Forest,0.4544477611940298,1.0,0.6249076430506526,1.0,0.0
A-8,One-Class SVM,0.3551095929405067,0.6555438780872307,0.4606720827178729,0.9916830816371196,0.3444561219127693
