method,precision,recall,f1_score,false_positive_rate,false_negative_rate
Global Z-score,0.256839408693899,0.21461857448569108,0.1271249607172426,0.09557395928955982,0.7853814255143089
Isolation Forest,0.16520332915140817,0.7436123390458154,0.2131322162657409,0.6536596662831572,0.25638766095418464
One-Class SVM,0.1968873211090836,0.5674646208142813,0.1943127869620242,0.4822401664180131,0.4325353791857187
Rolling Z-score,0.37203551735715223,0.062225159875001615,0.07681332921203708,0.02652336353314748,0.9377748401249983
