channel,spacecraft,method,precision,recall,f1_score,false_positive_rate,false_negative_rate,TN,FP,FN,TP
T-13,MSL,Autoencoder,0.0,0.0,0.0,0.017447199265381085,1.0,2140,38,252,0
F-4,MSL,Autoencoder,0.10687022900763359,0.39436619718309857,0.16816816816816818,0.06982990152193375,0.6056338028169014,3117,234,43,28
F-5,MSL,Autoencoder,1.0,0.5364238410596026,0.6982758620689655,0.0,0.46357615894039733,3771,0,70,81
D-14,MSL,Autoencoder,1.0,0.8378378378378378,0.9117647058823529,0.0,0.16216216216216217,2403,0,36,186
T-9,MSL,Autoencoder,0.08512628624883069,0.8125,0.15410668924640136,0.9939024390243902,0.1875,6,978,21,91
P-14,MSL,Autoencoder,0.10387596899224806,0.3701657458563536,0.162227602905569,0.09765163034296334,0.6298342541436464,5341,578,114,67
T-8,MSL,Autoencoder,0.2857142857142857,0.058823529411764705,0.0975609756097561,0.01058574453069866,0.9411764705882353,1402,15,96,6
P-11,MSL,Autoencoder,0.02702702702702703,0.0043859649122807015,0.007547169811320755,0.010885999395222256,0.9956140350877193,3271,36,227,1
D-15,MSL,Autoencoder,1.0,0.0343213728549142,0.06636500754147813,0.0,0.9656786271450858,1517,0,619,22
D-16,MSL,Autoencoder,1.0,0.0030721966205837174,0.006125574272588055,0.0,0.9969278033794163,1540,0,649,2
M-7,MSL,Autoencoder,0.9591836734693877,0.46534653465346537,0.6266666666666667,0.0009732360097323601,0.5346534653465347,2053,2,54,47
F-8,MSL,Autoencoder,0.7222222222222222,0.024208566108007448,0.04684684684684685,0.002564102564102564,0.9757914338919925,1945,5,524,13
