channel,spacecraft,method,precision,recall,f1_score,false_positive_rate,false_negative_rate,TN,FP,FN,TP
B-1,SMAP,LSTM Autoencoder,0.01820020222446916,0.7605633802816901,0.03554970375246873,0.3676173649671883,0.23943661971830985,5011,2913,17,54
G-6,SMAP,LSTM Autoencoder,0.19348659003831417,1.0,0.32423756019261635,0.04958775029446408,0.0,8069,421,0,101
G-7,SMAP,LSTM Autoencoder,0.6828358208955224,0.6828358208955224,0.6828358208955224,0.011021784232365146,0.31716417910447764,7627,85,85,183
P-7,SMAP,LSTM Autoencoder,0.46306306306306305,0.3113264688067838,0.37232886635277074,0.09354889342332444,0.6886735311932163,5775,596,1137,514
R-1,SMAP,LSTM Autoencoder,0.011257817929117443,1.0,0.022264980758658605,1.0,0.0,0,7114,0,81
A-5,SMAP,LSTM Autoencoder,0.022727272727272728,0.8627450980392157,0.04428787116255662,0.4119311996516438,0.13725490196078433,2701,1892,7,44
A-6,SMAP,LSTM Autoencoder,0.021287642782969886,1.0,0.041687849517031014,0.43204217281686913,0.0,2478,1885,0,41
A-7,SMAP,LSTM Autoencoder,0.0,0.0,0.0,0.021517553793884484,1.0,6048,133,2401,0
D-13,SMAP,LSTM Autoencoder,0.054064566316608324,0.8633540372670807,0.10175695461200586,0.3263115523950087,0.13664596273291926,5021,2432,22,139
A-8,SMAP,LSTM Autoencoder,0.0,0.0,0.0,0.0,1.0,4520,0,3806,0
A-9,SMAP,LSTM Autoencoder,0.0,0.0,0.0,0.0,1.0,4520,0,3865,0
F-3,SMAP,LSTM Autoencoder,0.0,0.0,0.0,0.019309678976587013,1.0,8126,160,41,0
M-6,MSL,LSTM Autoencoder,0.17420596727622714,1.0,0.2967213114754098,0.47168774051676743,0.0,961,858,0,181
M-1,MSL,LSTM Autoencoder,0.0,0.0,0.0,0.08003679852805888,1.0,1000,87,1141,0
M-2,MSL,LSTM Autoencoder,0.9754716981132076,0.9062226117440841,0.9395729213993639,0.02391904323827047,0.09377738825591586,1061,26,107,1034
S-2,MSL,LSTM Autoencoder,0.11538461538461539,0.5454545454545454,0.19047619047619047,0.02603282399547255,0.45454545454545453,1721,46,5,6
P-10,MSL,LSTM Autoencoder,0.055004955401387515,0.8473282442748091,0.10330386226151698,0.3221283783783784,0.15267175572519084,4013,1907,20,111
T-4,MSL,LSTM Autoencoder,0.4461538461538462,0.42028985507246375,0.43283582089552236,0.01715102429728442,0.5797101449275363,2063,36,40,29
T-5,MSL,LSTM Autoencoder,0.25925925925925924,0.5384615384615384,0.35,0.018665422305179653,0.46153846153846156,2103,40,12,14
F-7,MSL,LSTM Autoencoder,0.45435684647302904,0.5177304964539007,0.4839779005524862,0.057398515931907465,0.48226950354609927,4319,263,204,219
M-3,MSL,LSTM Autoencoder,0.0,0.0,0.0,0.0361247947454844,1.0,1761,66,251,0
M-4,MSL,LSTM Autoencoder,0.19230769230769232,0.0199203187250996,0.036101083032490974,0.012082853855005753,0.9800796812749004,1717,21,246,5
M-5,MSL,LSTM Autoencoder,0.0,0.0,0.0,0.006656426011264721,1.0,1940,13,301,0
P-15,MSL,LSTM Autoencoder,0.009174311926605505,0.6666666666666666,0.01809954751131222,0.542713567839196,0.3333333333333333,1274,1512,7,14
C-1,MSL,LSTM Autoencoder,0.0,0.0,0.0,0.0,1.0,1903,0,312,0
C-2,MSL,LSTM Autoencoder,0.08567854909318325,1.0,0.1578341013824885,0.7839142091152815,0.0,403,1462,0,137
T-12,MSL,LSTM Autoencoder,0.0,0.0,0.0,0.0,1.0,2260,0,121,0
