channel,spacecraft,method,precision,recall,f1_score,false_positive_rate,false_negative_rate,TN,FP,FN,TP
D-7,SMAP,Rolling Z-score,1.0,0.014803849000740192,0.029175784099197667,0.0,0.9851961509992598,4940,0,2662,40
F-1,SMAP,Rolling Z-score,0.01876675603217158,0.06930693069306931,0.029535864978902954,0.04314511375692562,0.9306930693069307,8117,366,94,7
P-4,SMAP,Rolling Z-score,1.0,0.03160270880361174,0.061269146608315096,0.0,0.9683972911963883,7340,0,429,14
G-3,SMAP,Rolling Z-score,0.5,0.0196078431372549,0.03773584905660377,0.00012729124236252545,0.9803921568627451,7855,1,50,1
T-1,SMAP,Rolling Z-score,0.18281718281718282,0.119140625,0.14426487977926686,0.11560203504804975,0.880859375,6258,818,1353,183
T-2,SMAP,Rolling Z-score,0.20787083753784055,0.115406162464986,0.1484149855907781,0.11476608187134503,0.884593837535014,6055,785,1579,206
D-8,SMAP,Rolling Z-score,1.0,0.0196078431372549,0.038461538461538464,0.0,0.9803921568627451,7823,0,50,1
D-9,SMAP,Rolling Z-score,1.0,0.00865051903114187,0.017152658662092625,0.0,0.9913494809688581,6250,0,1146,10
F-2,SMAP,Rolling Z-score,0.2865671641791045,0.03246533648968549,0.0583232077764277,0.04215911095431293,0.9675346635103145,5430,239,2861,96
G-4,SMAP,Rolling Z-score,0.004597701149425287,0.06451612903225806,0.008583690987124463,0.05696618865938692,0.9354838709677419,7168,433,29,2
T-3,SMAP,Rolling Z-score,0.00437636761487965,0.010869565217391304,0.0062402496099844,0.054198927933293624,0.9891304347826086,7940,455,182,2
D-11,SMAP,Rolling Z-score,0.020491803278688523,0.08196721311475409,0.03278688524590164,0.03242876526458616,0.9180327868852459,7131,239,56,5
D-12,SMAP,Rolling Z-score,1.0,0.029197080291970802,0.05673758865248227,0.0,0.9708029197080292,5178,0,2660,80
B-1,SMAP,Rolling Z-score,1.0,0.07042253521126761,0.13157894736842105,0.0,0.9295774647887324,7973,0,66,5
G-6,SMAP,Rolling Z-score,1.0,0.04950495049504951,0.09433962264150944,0.0,0.9504950495049505,8539,0,96,5
G-7,SMAP,Rolling Z-score,0.22535211267605634,0.05970149253731343,0.0943952802359882,0.0070867156294291975,0.9402985074626866,7706,55,252,16
P-7,SMAP,Rolling Z-score,0.2191780821917808,0.03876438522107813,0.06587750900669069,0.03551401869158879,0.9612356147789218,6192,228,1587,64
R-1,SMAP,Rolling Z-score,1.0,0.012345679012345678,0.024390243902439025,0.0,0.9876543209876543,7163,0,80,1
A-5,SMAP,Rolling Z-score,0.14492753623188406,0.19607843137254902,0.16666666666666666,0.012710038776389487,0.803921568627451,4583,59,41,10
A-6,SMAP,Rolling Z-score,0.16216216216216217,0.14634146341463414,0.15384615384615385,0.007026291931097008,0.8536585365853658,4381,31,35,6
A-7,SMAP,Rolling Z-score,0.8620689655172413,0.010412328196584756,0.0205761316872428,0.0006420545746388443,0.9895876718034152,6226,4,2376,25
D-13,SMAP,Rolling Z-score,1.0,0.09937888198757763,0.1807909604519774,0.0,0.9006211180124224,7502,0,145,16
A-8,SMAP,Rolling Z-score,0.6,0.03152916447714135,0.05991013479780329,0.017509301816590064,0.9684708355228586,4489,80,3686,120
A-9,SMAP,Rolling Z-score,0.5096774193548387,0.020439844760672704,0.039303482587064675,0.016633836725760562,0.9795601552393273,4493,76,3786,79
F-3,SMAP,Rolling Z-score,1.0,0.2682926829268293,0.4230769230769231,0.0,0.7317073170731707,8335,0,30,11
M-6,MSL,Rolling Z-score,0.20833333333333334,0.027624309392265192,0.04878048780487805,0.010171306209850108,0.9723756906077348,1849,19,176,5
M-1,MSL,Rolling Z-score,0.4166666666666667,0.008764241893076249,0.017167381974248927,0.01232394366197183,0.9912357581069238,1122,14,1131,10
M-2,MSL,Rolling Z-score,0.45161290322580644,0.012269938650306749,0.023890784982935155,0.014964788732394365,0.9877300613496932,1119,17,1127,14
S-2,MSL,Rolling Z-score,1.0,0.2727272727272727,0.42857142857142855,0.0,0.7272727272727273,1816,0,8,3
P-10,MSL,Rolling Z-score,0.10526315789473684,0.0916030534351145,0.09795918367346938,0.017088289495727927,0.9083969465648855,5867,102,119,12
T-4,MSL,Rolling Z-score,1.0,0.028985507246376812,0.056338028169014086,0.0,0.9710144927536232,2148,0,67,2
T-5,MSL,Rolling Z-score,1.0,0.19230769230769232,0.3225806451612903,0.0,0.8076923076923077,2192,0,21,5
F-7,MSL,Rolling Z-score,0.06521739130434782,0.028368794326241134,0.039538714991762765,0.037141006262146406,0.9716312056737588,4459,172,411,12
M-3,MSL,Rolling Z-score,0.1984126984126984,0.099601593625498,0.13262599469496023,0.05383795309168443,0.900398406374502,1775,101,226,25
M-4,MSL,Rolling Z-score,0.21904761904761905,0.09163346613545817,0.12921348314606743,0.04588696138780078,0.9083665338645418,1705,82,228,23
M-5,MSL,Rolling Z-score,0.21739130434782608,0.08305647840531562,0.1201923076923077,0.04495504495504495,0.9169435215946844,1912,90,276,25
P-15,MSL,Rolling Z-score,0.04,0.23809523809523808,0.0684931506849315,0.042328042328042326,0.7619047619047619,2715,120,16,5
C-1,MSL,Rolling Z-score,0.1411764705882353,0.038461538461538464,0.060453400503778336,0.03739754098360656,0.9615384615384616,1879,73,300,12
C-2,MSL,Rolling Z-score,0.05714285714285714,0.029197080291970802,0.03864734299516908,0.034482758620689655,0.9708029197080292,1848,66,133,4
T-12,MSL,Rolling Z-score,0.09090909090909091,0.049586776859504134,0.06417112299465241,0.0259852750108272,0.9504132231404959,2249,60,115,6
T-13,MSL,Rolling Z-score,0.3382352941176471,0.09126984126984126,0.14375,0.02066115702479339,0.9087301587301587,2133,45,229,23
F-4,MSL,Rolling Z-score,0.06914893617021277,0.18309859154929578,0.10038610038610038,0.05222321695016413,0.8169014084507042,3176,175,58,13
F-5,MSL,Rolling Z-score,0.05263157894736842,0.09271523178807947,0.0671462829736211,0.06682577565632458,0.9072847682119205,3519,252,137,14
D-14,MSL,Rolling Z-score,1.0,0.06756756756756757,0.12658227848101267,0.0,0.9324324324324325,2403,0,207,15
T-9,MSL,Rolling Z-score,0.19607843137254902,0.08928571428571429,0.12269938650306748,0.041666666666666664,0.9107142857142857,943,41,102,10
P-14,MSL,Rolling Z-score,0.13157894736842105,0.08287292817679558,0.1016949152542373,0.016725798276735936,0.9171270718232044,5820,99,166,15
T-8,MSL,Rolling Z-score,0.25,0.058823529411764705,0.09523809523809523,0.012702893436838392,0.9411764705882353,1399,18,96,6
P-11,MSL,Rolling Z-score,0.08461538461538462,0.04824561403508772,0.061452513966480445,0.03598427577865135,0.9517543859649122,3188,119,217,11
D-15,MSL,Rolling Z-score,0.3493975903614458,0.0452418096723869,0.08011049723756906,0.035596572181938034,0.9547581903276131,1463,54,612,29
D-16,MSL,Rolling Z-score,1.0,0.02304147465437788,0.04504504504504504,0.0,0.9769585253456221,1540,0,636,15
M-7,MSL,Rolling Z-score,0.6666666666666666,0.1188118811881188,0.20168067226890757,0.00291970802919708,0.8811881188118812,2049,6,89,12
F-8,MSL,Rolling Z-score,0.20987654320987653,0.03165735567970205,0.05501618122977346,0.03282051282051282,0.9683426443202979,1886,64,520,17
